anime_id,name,genre,type,episodes,rating
21,,"Action,Adventure,Comedy,Drama,Fantasy,Shounen,Super Power",TV,,8.60
19067,,Game,TV,64,6.71
235,,"Adventure,Comedy,Mystery,Police,Shounen",TV,,8.16
1735,,"Action,Adventure,Comedy,Martial Arts,Shounen,Super Power",TV,500,8.22
966,,"Comedy,Ecchi,School,Seinen,Slice of Life",TV,,7.72
7505,,"Comedy,Drama,Fantasy,Kids",TV,,6.11
33157,,"Comedy,School,Slice of Life",Special,7,7.42
34754,,"Fantasy,Slice of Life",TV,59,6.68
21639,,"Action,Fantasy,Game,Shounen",TV,148,6.72
8687,,"Comedy,Kids,Sci-Fi,Shounen",TV,,7.58
32410,,"Sci-Fi,Seinen",Special,5,5.69
30694,,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",TV,131,7.40
2406,,"Comedy,Slice of Life",TV,,6.12
36904,,"Comedy,Slice of Life",ONA,10,7.66
6149,,"Comedy,Kids,School,Slice of Life",TV,,7.23
23539,,"Comedy,Kids",TV,,7.03
34178,,Sports,ONA,6,6.77
34034,,"Action,Fantasy,Game,Kids,School",TV,146,6.81
31049,,"Action,Adventure,Kids,Sci-Fi,Sports",TV,51,6.38
1199,,"Comedy,Kids",TV,,7.06
32717,,"Music,School,Shoujo,Slice of Life","Music,TV",100,7.53
32932,,Romance,ONA,3,6.09
34077,,"Action,Game,Shounen",TV,52,6.60
23135,,"Music,School,Shoujo,Slice of Life","Music,TV",140,7.44
33242,,"Comedy,Harem,Romance",Special,1,6.40
33490,,"Adventure,Comedy,Kids,Mystery",TV,13,7.32
7643,,"Comedy,Kids,Slice of Life",TV,37,6.31
29765,,,Movie,1,5.85
13163,,"Historical,Kids,Supernatural",TV,258,6.99
33589,,"Action,Drama,Martial Arts",TV,12,7.04
19157,,"Comedy,Demons,Kids,Supernatural",TV,214,6.49
31044,,"Fantasy,Kids,Slice of Life",TV,139,6.12
32829,,"Comedy,Historical",TV,26,7.06
28921,,Kids,TV,37,5.77
33241,,"Romance,Slice of Life",TV,10,7.36
1960,,"Comedy,Fantasy,Kids",TV,,6.45
10800,,"Drama,Game,Josei,School,Slice of Life,Sports",TV,25,8.21
4459,,"Adventure,Comedy,Fantasy,Kids",TV,,6.35
32248,,"Action,Historical,Samurai,Super Power",ONA,6,5.94
32670,,"Fantasy,Game",TV,51,5.83
32881,,"Action,Drama,Shounen,Sports",TV,38,6.95
33314,,"Action,Adventure,Comedy,Fantasy,Kids,Sci-Fi",TV,52,6.57
25049,,"Action,Comedy,Fantasy",ONA,3,5.11
9981,,"Action,Game,Mystery,Shounen",TV,25,7.19
,,"School,Seinen",,,7.34
37368,,"Comedy,Seinen,Slice of Life",TV,32,5.75
8631,,"Comedy,Slice of Life",ONA,11,5.76
33187,,,Movie,1,5.47
30862,,,Movie,1,5.83
28987,,Music,"Movie,Music",1,5.48
19219,,,Movie,1,5.44
29629,,,Movie,1,4.94
28653,,,Movie,1,5.54
33026,,"Adventure,Comedy,Mecha",TV,24,5.90
31834,,,Movie,1,5.20
33434,,"Comedy,Kids,Parody,Sci-Fi",TV,50,6.01
31507,,Fantasy,Movie,1,4.83
31760,,,Movie,1,4.92
28587,,,Movie,1,5.07
43523,,"Action,Adventure,Comedy,Fantasy",TV,12,7.75
1562,,"Action,Comedy,Music,Shoujo,Supernatural","Music,TV",25,7.74
30399,,,Movie,1,4.77
33541,,"Comedy,Game,Space",TV,12,4.77
4795,,"Adventure,Comedy,Fantasy,Kids",Movie,1,6.51
33820,,"Horror,Mystery",Movie,1,4.16
31832,,,Movie,1,4.68
28647,,Music,"Movie,Music",1,4.27
31471,,Comedy,ONA,6,5.09
29957,,,Movie,1,4.15
31164,,"Kids,Slice of Life,Supernatural",ONA,1,5.94
2225,,"Drama,Historical,Slice of Life",TV,52,7.30
30914,,"Kids,Sports",Special,30,
33108,,"Kids,Music",Music,30,
35427,,"Comedy,Parody,School",TV,12,6.39
33704,,"Action,Adventure,Fantasy,Sci-Fi",ONA,32,6.41
33044,,Comedy,TV,744,
34443,,"Action,Martial Arts,Shounen",ONA,26,7.22
30989,,Comedy,TV,47,
34618,,"Comedy,Slice of Life",TV,12,7.32
29921,,,Movie,1,5.45
32237,,"Comedy,Fantasy",TV,,
33863,,Comedy,ONA,1,
29655,,,Movie,1,5.60
18007,,"Historical,Military",TV,32,
34060,,Horror,ONA,1,3.49
27551,,"Comedy,Kids",TV,61,
34207,,"Comedy,Kids",TV,16,
29605,,"Action,Martial Arts",ONA,26,
32582,,"Action,Adventure,Comedy,Fantasy,Kids",TV,51,5.47
29431,,"Kids,Sports",TV,7,
33986,,"Comedy,Parody,Slice of Life",ONA,9,
24985,,"School,Shoujo",OVA,6,
29923,,,Movie,1,5.45
30556,,"Comedy,Kids",ONA,4,
30121,,"Adventure,Kids",TV,154,
31640,,"Adventure,Kids",TV,26,
42205,,"Adventure,Comedy,Shounen,Super Power,Supernatural",TV,52,6.66
31692,,Historical,TV,7,
22669,,"Action,Comedy,Kids",TV,,
27521,,"Comedy,Music","Music,TV",61,
31510,,Music,"Movie,Music",1,
8336,,"Comedy,Kids",TV,,
30861,,,Movie,12,
30411,,Comedy,TV,52,
30470,,"Comedy,Parody,Super Power",TV,38,
32892,,"Comedy,Parody,Super Power",ONA,47,
32665,,"Adventure,Historical",ONA,1,5.73
32636,,,Movie,1,5.48
,,"Drama,Romance",,,6.56
31509,,,Movie,1,
28487,,,OVA,1,
34502,,"Action,Comedy,Sci-Fi",TV,10,6.33
24501,,"Comedy,Shoujo",OVA,5,
28427,,"Comedy,Historical",ONA,5,
31903,,"Comedy,Historical,Shounen",ONA,1,
33779,,"Comedy,Ecchi,Fantasy,Parody",Special,3,5.67
32707,,"Comedy,Fantasy,Shoujo",ONA,3,5.67
33267,,"Adventure,Fantasy",TV,,
33870,,Comedy,ONA,3,
31599,,"Comedy,Mystery,Slice of Life",ONA,4,
34006,,Sci-Fi,ONA,34,5.98
34292,,"Comedy,Historical,Supernatural",TV,16,6.05
30154,,"Comedy,Slice of Life",ONA,,
13825,,"Comedy,Slice of Life",ONA,6,
30151,,"Comedy,Slice of Life",TV,,
32568,,"Kids,Sci-Fi",TV,47,
24977,,Comedy,ONA,,
30435,,,ONA,4,
31506,,Fantasy,Movie,1,
29489,,Kids,TV,2,
29361,,"Comedy,Kids,Slice of Life",TV,,
10797,,"Comedy,School",TV,425,
28691,,Comedy,Movie,1,5.05
8244,,"Comedy,Kids",TV,25,
34233,,"Comedy,Horror,Kids,Supernatural",TV,13,
29920,,,Movie,1,5.53
24775,,"Kids,Slice of Life",TV,,
30129,,Kids,TV,,
29603,,Sports,ONA,33,
31539,,Comedy,TV,52,
9947,,"Adventure,Comedy",TV,3057,
33674,,"Drama,Fantasy,Game,Romance,Supernatural",Movie,1,8.25
40211,,"Adventure,Drama,Fantasy",Movie,1,8.30
33755,,"Drama,Game",ONA,16,
30055,,,Movie,1,
33542,,"Comedy,School",Special,8,5.53
32402,,Comedy,TV,4,
,,"Ecchi,Harem,Romance,School,Seinen",,,7.35
33604,,"Adventure,Fantasy",ONA,29,
31369,,"Comedy,Music","Music,ONA",13,
29427,,"Adventure,Fantasy,Kids",TV,12,
33479,,Slice of Life,TV,20,
32876,,"Comedy,Kids",TV,26,
34309,,"Comedy,Supernatural",TV,8,
33271,,"Action,Sci-Fi",ONA,10,
15211,,"Mystery,Shoujo",OVA,6,
33398,,Comedy,TV,,
32572,,"Historical,Kids,Parody,Samurai",TV,32,6.30
33727,,Kids,TV,30,
24773,,"Comedy,Slice of Life",ONA,,
22585,,Comedy,TV,24,
24845,,"Comedy,Music","Music,TV",124,
24403,,Comedy,TV,3,
34234,,"Comedy,Kids",TV,50,
29435,,"Kids,Music","Music,TV",4,
29922,,,Movie,1,
29399,,"Adventure,Kids",TV,11,
13463,,Kids,TV,431,
490,,"Comedy,Parody,School",TV,26,7.44
32842,,"Comedy,Kids",TV,27,
33002,,"Comedy,Kids",TV,26,
34156,,Comedy,TV,13,
21981,,Kids,TV,12,
31078,,,TV,31,
40089,,,TV,93,
31667,,"Comedy,Fantasy,Parody",ONA,,
22297,,"Action,Fantasy,Supernatural",TV,12,8.20
33318,,Drama,Movie,1,
33196,,"Comedy,Parody",ONA,49,
10506,,Comedy,TV,,
33540,,"Cars,Drama,Seinen",TV,30,
18941,,"Adventure,Comedy,Fantasy,Kids",TV,,
31508,,,Movie,1,
33415,,"Comedy,School",ONA,17,
33855,,"Comedy,Music","Music,ONA",4,5.47
30120,,"Adventure,Kids",TV,34,
33320,,,Movie,1,
16417,,"Comedy,Slice of Life",TV,12,7.39
32585,,Adventure,TV,52,
30408,,,Movie,1,4.97
13457,,"Comedy,Kids",TV,398,
32144,,Slice of Life,ONA,2,
33319,,,Movie,1,
33099,,"Comedy,Kids,School,Sci-Fi,Slice of Life",TV,44,
33776,,"Comedy,Game,School",ONA,12,5.57
33758,,"Action,Fantasy,Historical,Martial Arts,Supernatural",ONA,30,7.44
25183,,"Action,Drama,Seinen",TV,12,7.40
32916,,"Comedy,Music,Slice of Life","Music,Special",5,
32644,,,ONA,1,5.31
30119,,Kids,TV,,
34613,,"Comedy,Fantasy,Parody",Special,23,5.51
30309,,Slice of Life,Movie,23,
34096,,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",TV,12,8.98
39652,,"Action,Comedy,Parody,Sci-Fi,Super Power,Supernatural",Special,1,6.87
30484,,"Drama,Psychological,Sci-Fi",TV,23,8.51
25777,,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",TV,12,8.49
34437,,"Action,Drama,Mecha,Military,Sci-Fi,Super Power",Movie,1,7.93
33486,,"Action,Comedy,School,Shounen,Super Power",TV,25,8.21
32937,,"Adventure,Comedy,Fantasy,Parody,Supernatural",TV,10,8.29
33506,,"Action,Demons,Fantasy,Shounen,Supernatural",TV,12,7.38
33417,,"Comedy,Drama,Romance,Slice of Life",TV,10,7.20
30727,,"Comedy,Ecchi,Harem,Romance,School",TV,11,7.78
33352,,"Drama,Fantasy,Slice of Life",TV,13,8.66
33248,,"Action,Drama,Super Power,Supernatural",Movie,1,7.40
31765,,"Action,Adventure,Fantasy,Game,Romance",Movie,1,7.59
32887,,"Action,Adventure,Fantasy",TV,12,7.05
33487,,"Comedy,Harem,Romance,School,Shounen",TV,12,6.77
30455,,"Action,Military,School,Sci-Fi,Slice of Life",,,
33047,,"Action,Fantasy,Supernatural",TV,10,6.28
31783,,"Comedy,Drama,Shounen,Sports",TV,25,7.67
34451,,"Action,Comedy,Fantasy,Shounen,Super Power,Supernatural,Vampire",TV,12,7.83
33852,,"Comedy,Romance,Sci-Fi,Super Power,Supernatural",,,
25537,,"Action,Fantasy,Supernatural",Movie,1,8.22
33743,,"Drama,Ecchi,Music,Romance,School,Shounen","Music,TV",12,6.52
18507,,"Comedy,Drama,School,Slice of Life,Sports",TV,12,7.35
19815,,"Adventure,Comedy,Ecchi,Fantasy,Game,Supernatural",TV,12,8.13
33489,,"Adventure,Comedy,Fantasy,School",TV,25,7.85
32949,,"Drama,Romance,School,Seinen",TV,12,7.22
30485,,"Mystery,Psychological,Sci-Fi,Supernatural",TV,12,6.36
32901,,"Comedy,Drama,Ecchi,Romance",TV,12,6.42
32379,,"Action,Adventure,Demons,Drama,Fantasy,Horror,Seinen,Supernatural",TV,12,6.31
32981,,Action,TV,12,5.30
34176,,"Action,Adventure,Fantasy",TV,12,7.08
227,,"Action,Comedy,Mecha,Parody,Psychological,Sci-Fi,Supernatural",OVA,6,8.03
,,"Demons,Fantasy,Supernatural",,,
71,,"Action,Comedy,Mecha,Military,Sci-Fi",TV,24,7.63
31629,,"Adventure,Fantasy",TV,13,6.66
33023,,"Action,Comedy,Drama,Fantasy,Historical,Slice of Life",TV,12,6.82
29643,,,Special,,5.93
33337,,"Drama,Fantasy,Mystery,Police,Seinen",TV,12,7.67
38276,,"Comedy,Game,School,Shounen",TV,12,6.70
34051,,"Action,Comedy,Ecchi,Supernatural",TV,13,6.53
33839,,"Comedy,School,Shounen",OVA,1,5.26
34350,,"Adventure,Mystery,Seinen",TV,12,7.11
3470,,"Comedy,Romance,School,Shoujo",TV,24,7.53
32105,,"Action,Fantasy,Romance,Shounen,Supernatural",TV,50,7.31
20471,,"Military,Sci-Fi",Movie,1,
33564,,"Action,Sci-Fi,Super Power",OVA,1,5.67
33371,,"Action,Mecha,Sci-Fi,Seinen",TV,12,6.83
32878,,"Action,Police,Sci-Fi,Shounen,Space",TV,12,6.14
33573,,Music,"Music,TV",13,6.97
31853,,"Action,Horror,Sci-Fi",Movie,1,7.01
32086,,"Action,Drama,Mecha,Psychological,Sci-Fi,Seinen",Movie,1,7.08
31478,,"Action,Comedy,Mystery,Seinen,Super Power,Supernatural",TV,12,7.81
33475,,"Action,Comedy,School,Shounen",TV,12,6.92
33354,,"Adventure,Comedy,Fantasy,Romance,Shoujo",TV,22,7.65
3087,,"Action,Sci-Fi",Movie,1,7.18
34525,,"Comedy,Fantasy,School,Seinen,Slice of Life",TV,12,6.46
28833,,"Action,Adventure,Fantasy",TV,12,6.61
33729,,"Action,Adventure,Fantasy,Shounen",Movie,1,7.04
33730,,"Action,Adventure,Fantasy,Shounen",Movie,1,7.05
11597,,"Comedy,Ecchi,Mystery,Supernatural",TV,11,8.16
34088,,"Action,Comedy,Historical",TV,12,5.65
32830,,Mystery,TV,13,5.26
28377,,"Comedy,Mecha",OVA,1,
34257,,"Comedy,Slice of Life",TV,13,6.54
,,"Fantasy,Sci-Fi,Shounen",,,7.40
32152,,"Fantasy,Game",ONA,12,6.33
31456,,"Fantasy,Harem,Historical,Josei,Military,Romance",TV,12,6.65
34244,,"Adventure,Comedy,Sci-Fi,Seinen",Movie,1,6.88
34346,,Fantasy,ONA,10,7.02
33181,,"Comedy,Romance,School,Shoujo,Slice of Life",OVA,1,6.77
34497,,"Adventure,Fantasy,Harem",TV,12,6.49
33988,,"Comedy,Fantasy,School,Seinen,Vampire",TV,12,7.58
32271,,"Action,Military,Super Power",TV,11,5.38
34299,,"Action,Adventure,Comedy,Drama",Movie,1,7.31
33672,,"Adventure,Comedy,Fantasy,Kids,Shounen",Movie,1,7.38
31678,,"Action,Adventure,Fantasy",Movie,1,7.29
32212,,"Music,School","Music,TV",24,6.88
34208,,"Music,Sci-Fi,Slice of Life","Music,ONA",2,6.46
3786,,"Action,Drama,Mecha,Psychological,Sci-Fi",Movie,1,8.69
30778,,"Action,Adventure,Comedy,Fantasy,Shounen",Movie,1,7.52
34321,,"Action,Fantasy,Supernatural",Special,1,6.75
34100,,"Action,Fantasy",Movie,1,7.96
,,,,,
31376,,"Comedy,Shounen,Slice of Life,Supernatural",TV,12,7.52
34427,,"Action,Mecha,Sci-Fi,Slice of Life",TV,12,6.40
33203,,"Drama,Music,Romance,School,Shoujo","Music,TV",12,6.99
33731,,"Comedy,Demons,School,Shounen,Supernatural",TV,12,7.47
33457,,"Comedy,Parody,School",Special,1,5.67
34280,,"Comedy,Game,Romance,School",TV,12,6.83
34488,,"Comedy,Kids,Sci-Fi",TV,10,
32455,,"Music,Sci-Fi","Music,TV",12,5.54
38759,,"Comedy,Romance,Slice of Life,Supernatural",TV,12,7.35
32936,,"Adventure,Fantasy",TV,12,6.23
820,,"Action,Drama,Military,Sci-Fi,Space",OVA,110,9.04
570,,"Action,Drama,Horror,Military,Police,Psychological,Romance,Supernatural",Movie,1,7.78
43229,,"Action,Mecha,Mystery,Sci-Fi",TV,13,6.70
34527,,"Adventure,Kids",Movie,1,
34279,,"Action,Drama,Fantasy,Romance",TV,24,7.23
19319,,"Action,Mecha,Sci-Fi",TV,25,7.75
23279,,"Military,Psychological,Sci-Fi",Movie,1,7.16
33378,,"Comedy,Historical,Romance,Shoujo",Movie,1,7.49
34403,,"Comedy,Ecchi,Romance,School,Shounen",TV,10,6.29
31109,,"Comedy,Romance,School,Shoujo",TV,12,5.54
34125,,"Action,Military,School",OVA,2,7.22
21877,,"Comedy,Game,Romance,School,Seinen",TV,12,7.81
33948,,"Comedy,Slice of Life",TV,12,6.77
33204,,"Adventure,Fantasy,Mecha,Sci-Fi",Movie,1,6.90
33797,,"Mecha,Sci-Fi,Space",TV,12,6.55
34028,,Music,"Music,TV",12,5.67
33899,,"Drama,Music","Music,TV",17,7.73
33733,,Sports,TV,26,6.66
33027,,"Action,Sci-Fi,Super Power",TV,12,6.46
34012,,"Fantasy,Slice of Life",TV,12,7.36
33012,,"Drama,Sci-Fi",TV,12,6.33
33840,,School,TV,12,6.62
33532,,Drama,TV,12,5.92
34198,,"Fantasy,Kids",Movie,1,
33089,,"Adventure,Comedy,Fantasy",TV,12,7.55
32133,,Kids,Movie,1,6.71
34501,,"Action,Martial Arts,School,Shoujo",TV,12,6.43
34032,,"Music,Shoujo,Sports","Movie,Music",1,6.89
33191,,"Action,Mystery,Shounen,Supernatural",OVA,4,7.61
31758,,"Action,Mystery,Supernatural,Vampire",Movie,1,8.81
34104,,"Action,Fantasy,Mecha,School",TV,13,7.10
33206,,"Comedy,Fantasy,Slice of Life",TV,13,8.01
28623,,"Action,Drama,Fantasy,Horror,Supernatural",TV,12,7.26
35658,,"Comedy,Shounen,Sports",Special,1,7.74
31812,,"Action,Comedy,Demons,Historical,Mystery,Shounen,Supernatural",Movie,1,8.25
34106,,"Comedy,Romance,School,Shounen,Supernatural",TV,25,7.06
34151,,"Action,Adventure,Fantasy,Martial Arts,Romance",OVA,1,
,,"Drama,Shounen,Supernatural",,,7.12
34021,,"Action,Adventure,Drama,Seinen",Movie,1,7.86
17947,,"Action,Drama,Sci-Fi",Movie,1,7.45
32900,,"Action,Sci-Fi,Supernatural",Movie,1,7.46
,,"Drama,Fantasy,Sci-Fi,Shoujo",,,7.03
33737,,"Action,Mecha,School,Sci-Fi",TV,,5.69
,,"School,Shounen,Sports",,,
31445,,"Comedy,Parody,School,Seinen",TV,,
,,"Comedy,Drama,Romance,School,Shoujo",,,7.45
36936,,"Adventure,Drama,Fantasy",Movie,1,7.30
34391,,"Action,Drama,Mecha,Military,Sci-Fi,Space",ONA,4,7.27
35362,,"Comedy,Fantasy,Music","Music,TV",,
34383,,"Drama,Romance",TV,12,5.35
34277,,"Comedy,Ecchi,Slice of Life",OVA,1,7.41
,,"Historical,Romance",,,
34264,,"Comedy,School",TV,,
32447,,"Comedy,Ecchi",TV,11,5.38
34148,,"Comedy,Slice of Life",TV,12,6.61
34392,,Slice of Life,TV,12,5.56
33983,,"Historical,Seinen",TV,13,7.31
32013,,"Comedy,School,Slice of Life",TV,12,7.08
34262,,"Comedy,Historical,Slice of Life",TV,12,7.47
34161,,"Action,Fantasy,Game,Supernatural",Movie,1,7.61
161,,"Action,Comedy,Historical,Samurai,Shounen",TV,24,7.32
33447,,"Comedy,Slice of Life",TV,12,5.88
30695,,"Fantasy,Music","Movie,Music",1,6.22
24023,,Drama,,,
22135,,"Drama,Psychological,Seinen,Sports",TV,11,8.62
33019,,"Comedy,Fantasy",TV,12,6.90
32262,,"Comedy,Ecchi,Harem,Romance,School,Supernatural",TV,12,6.66
34348,,"Adventure,Sci-Fi",TV,,
32951,,"Action,Fantasy,School",TV,12,7.16
33726,,"Action,Adventure,Comedy,Demons,Drama,Josei,Supernatural",TV,12,7.21
34494,,"Comedy,Slice of Life",TV,25,7.40
34102,,"Mystery,School,Super Power,Supernatural",TV,24,7.36
33889,,"Action,Drama,Fantasy,Sci-Fi",TV,12,5.80
34289,,"Action,School,Sci-Fi",TV,13,5.71
32032,,Sci-Fi,TV,12,6.78
33836,,"Romance,School",TV,12,6.29
11751,,"Action,Music,Sci-Fi","Music,TV",13,7.02
37054,,"Comedy,Parody,Super Power",TV,24,
34315,,Kids,Movie,1,
30736,,"Action,Adventure,Demons,Fantasy,Supernatural",TV,24,7.44
30223,,"Horror,School,Seinen,Supernatural",TV,,
33095,,"Drama,Historical,Josei",TV,12,8.76
33502,,"Drama,Fantasy,Romance,Sci-Fi",TV,12,7.70
33834,,"Ecchi,Fantasy",TV,12,5.71
33362,,"Music,School,Slice of Life","Music,TV",12,7.31
33036,,"Comedy,Drama,Romance,School",Movie,1,7.07
33013,,"Comedy,Drama,Romance,Slice of Life",OVA,2,7.36
11757,,"Action,Adventure,Fantasy,Game,Romance",TV,25,7.21
30911,,"Action,Adventure,Fantasy",TV,12,7.27
34310,,"Cars,Kids",Movie,1,
33308,,"Comedy,Mystery,Super Power",Special,1,6.74
,,"Music,School,Slice of Life",,,
34449,,"Action,Super Power",TV,12,5.13
32596,,"Adventure,Comedy,Fantasy,Kids",TV,50,
34416,,"Adventure,Comedy,Fantasy,Kids",Movie,1,
33473,,"Comedy,Sports",TV,8,
21305,,Fantasy,OVA,1,5.50
33581,,"Action,Comedy,Ecchi,Fantasy,Harem,Romance,School,Shounen",Movie,1,7.26
23275,,Music,"Music,OVA",5,
34019,,"Action,Comedy,Ecchi,School,Seinen,Supernatural",TV,12,7.06
34474,,Music,"Music,TV",13,6.71
34498,,"Romance,Sci-Fi",Movie,1,6.09
34076,,"Comedy,Demons,Drama,Fantasy,Slice of Life",TV,12,8.12
33064,,"Action,Drama,Military,Sci-Fi,Space",OVA,26,7.67
33478,,"Action,Fantasy,Sci-Fi,Shounen",TV,12,6.96
32924,,"Comedy,Fantasy,Seinen,Slice of Life",TV,12,7.12
32012,,"Fantasy,Music","Music,OVA",1,
34522,,"Drama,Music","Music,TV",12,6.53
34022,,"School,Shounen,Sports",ONA,,
48583,,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",TV,,
32615,,"Action,Military",TV,12,7.98
32222,,"Comedy,Kids,Supernatural",Movie,1,6.29
34471,,"Demons,Kids,Supernatural",Movie,1,6.82
34284,,"Drama,Fantasy,Slice of Life",TV,6,7.66
34445,,"Drama,Fantasy,Slice of Life",TV,6,7.65
15911,,"Comedy,School,Slice of Life",TV,12,7.37
33390,,,Movie,1,5.59
32355,,Hentai,OVA,6,7.35
33322,,Hentai,OVA,2,7.21
31789,,Hentai,OVA,1,6.77
30891,,Hentai,OVA,4,6.85
32872,,Hentai,OVA,2,6.87
,,Hentai,,,7.43
31788,,Hentai,OVA,2,6.73
32518,,Hentai,OVA,2,6.93
32063,,Hentai,OVA,2,7.04
31810,,Hentai,OVA,4,6.86
33962,,Hentai,OVA,2,6.81
33981,,Hentai,OVA,2,7.15
,,Hentai,,,
32405,,Hentai,OVA,2,6.87
33505,,Hentai,OVA,2,7.15
34246,,Hentai,OVA,1,6.68
32833,,Hentai,OVA,2,6.90
33769,,Hentai,OVA,2,6.79
33768,,Hentai,OVA,4,6.84
30242,,Hentai,OVA,2,6.50
33291,,Hentai,OVA,3,6.60
32864,,Hentai,OVA,6,6.62
33993,,Hentai,OVA,1,6.20
33153,,Hentai,OVA,2,6.34
32016,,"Comedy,Fantasy,Hentai,Supernatural",OVA,2,6.22
34030,,Hentai,OVA,2,6.46
34311,,Hentai,OVA,1,6.24
32238,,Hentai,OVA,2,6.20
28169,,Hentai,OVA,1,5.83
30770,,"Harem,Hentai",OVA,2,5.61
33125,,Hentai,OVA,4,5.47
33960,,Hentai,OVA,1,5.91
34382,,"Drama,Romance,School",TV,12,6.49
34168,,Hentai,OVA,1,6.47
33654,,"Drama,Romance,School,Slice of Life",TV,12,7.36
34506,,Hentai,OVA,2,4.62
34361,,Hentai,OVA,2,6.83
34492,,Hentai,OVA,4,6.37
34491,,Hentai,OVA,1,6.23
34312,,Hentai,OVA,2,6.28
34388,,Hentai,OVA,3,7.29
34399,,"Demons,Hentai,Supernatural",OVA,2,6.49
